id	chrom	len	cumul
scaff_group_020	NW_005081993v1	150420	953684485
scaff_group_020	NW_005081994v1	129081	953813566
scaff_group_020	NW_005081995v1	105277	953918843
scaff_group_020	NW_005081996v1	170284	954089127
scaff_group_020	NW_005081997v1	170440	954259567
scaff_group_020	NW_005081998v1	126384	954385951
scaff_group_020	NW_005081999v1	204821	954590772
scaff_group_020	NW_005082000v1	203679	954794451
scaff_group_020	NW_005082001v1	78065	954872516
scaff_group_020	NW_005082002v1	91873	954964389
scaff_group_020	NW_005082003v1	148528	955112917
scaff_group_020	NW_005082004v1	220743	955333660
scaff_group_020	NW_005082005v1	151960	955485620
scaff_group_020	NW_005082006v1	65002	955550622
scaff_group_020	NW_005082007v1	226792	955777414
scaff_group_020	NW_005082008v1	169494	955946908
scaff_group_020	NW_005082009v1	91441	956038349
scaff_group_020	NW_005082010v1	182517	956220866
scaff_group_020	NW_005082011v1	156900	956377766
scaff_group_020	NW_005082012v1	164912	956542678
scaff_group_020	NW_005082013v1	119457	956662135
scaff_group_020	NW_005082014v1	69725	956731860
scaff_group_020	NW_005082015v1	65265	956797125
scaff_group_020	NW_005082016v1	193590	956990715
scaff_group_020	NW_005082017v1	261365	957252080
scaff_group_020	NW_005082018v1	195291	957447371
scaff_group_020	NW_005082019v1	161411	957608782
scaff_group_020	NW_005082020v1	79121	957687903
scaff_group_020	NW_005082021v1	171138	957859041
scaff_group_020	NW_005082022v1	268453	958127494
scaff_group_020	NW_005082023v1	215354	958342848
scaff_group_020	NW_005082024v1	84025	958426873
scaff_group_020	NW_005082025v1	158915	958585788
scaff_group_020	NW_005082026v1	190631	958776419
scaff_group_020	NW_005082027v1	59056	958835475
scaff_group_020	NW_005082028v1	177578	959013053
scaff_group_020	NW_005082029v1	128173	959141226
scaff_group_020	NW_005082030v1	90845	959232071
scaff_group_020	NW_005082031v1	169456	959401527
scaff_group_020	NW_005082032v1	111431	959512958
scaff_group_020	NW_005082033v1	174297	959687255
scaff_group_020	NW_005082034v1	141478	959828733
scaff_group_020	NW_005082035v1	91121	959919854
scaff_group_020	NW_005082036v1	111953	960031807
scaff_group_020	NW_005082037v1	142725	960174532
scaff_group_020	NW_005082038v1	137667	960312199
scaff_group_020	NW_005082039v1	69896	960382095
scaff_group_020	NW_005082040v1	82075	960464170
scaff_group_020	NW_005082041v1	69380	960533550
scaff_group_020	NW_005082042v1	86987	960620537
scaff_group_020	NW_005082043v1	140494	960761031
scaff_group_020	NW_005082044v1	139283	960900314
scaff_group_020	NW_005082045v1	112014	961012328
scaff_group_020	NW_005082046v1	92488	961104816
scaff_group_020	NW_005082047v1	144571	961249387
scaff_group_020	NW_005082048v1	51569	961300956
scaff_group_020	NW_005082049v1	63537	961364493
scaff_group_020	NW_005082050v1	149318	961513811
scaff_group_020	NW_005082051v1	126284	961640095
scaff_group_020	NW_005082052v1	146695	961786790
scaff_group_020	NW_005082053v1	115096	961901886
scaff_group_020	NW_005082054v1	103582	962005468
scaff_group_020	NW_005082055v1	43098	962048566
scaff_group_020	NW_005082056v1	145908	962194474
scaff_group_020	NW_005082057v1	95039	962289513
scaff_group_020	NW_005082058v1	83971	962373484
scaff_group_020	NW_005082059v1	85376	962458860
scaff_group_020	NW_005082060v1	93659	962552519
scaff_group_020	NW_005082061v1	107333	962659852
scaff_group_020	NW_005082062v1	123218	962783070
scaff_group_020	NW_005082063v1	74496	962857566
scaff_group_020	NW_005082064v1	56889	962914455
scaff_group_020	NW_005082065v1	152730	963067185
scaff_group_020	NW_005082066v1	88141	963155326
