sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
s0344	1	Plate2	H5M7NDRX2	ILLUMINA	1	21N02869	s0344-21N02869-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N02869_S130_L001_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N02869_S130_L001_R2_001.fastq.gz	515067.398	526389.773
s0344	2	Plate2	H5M7NDRX2	ILLUMINA	2	21N02869	s0344-21N02869-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N02869_S130_L002_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N02869_S130_L002_R2_001.fastq.gz	503713.541	515349.785
s0345	1	Plate2	H5M7NDRX2	ILLUMINA	1	21N02870	s0345-21N02870-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N02870_S131_L001_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N02870_S131_L001_R2_001.fastq.gz	393303.717	411837.077
s0345	2	Plate2	H5M7NDRX2	ILLUMINA	2	21N02870	s0345-21N02870-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N02870_S131_L002_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N02870_S131_L002_R2_001.fastq.gz	395711.927	414767.565
s0346	1	Plate2	H5M7NDRX2	ILLUMINA	1	21N03984	s0346-21N03984-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03984_S146_L001_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03984_S146_L001_R2_001.fastq.gz	457953.858	488355.635
s0346	2	Plate2	H5M7NDRX2	ILLUMINA	2	21N03984	s0346-21N03984-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03984_S146_L002_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03984_S146_L002_R2_001.fastq.gz	459341.631	490932.363
s0347	1	Plate2	H5M7NDRX2	ILLUMINA	1	21N03985	s0347-21N03985-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03985_S147_L001_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03985_S147_L001_R2_001.fastq.gz	567542.216	609199.019
s0347	2	Plate2	H5M7NDRX2	ILLUMINA	2	21N03985	s0347-21N03985-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03985_S147_L002_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03985_S147_L002_R2_001.fastq.gz	571422.339	615020.474
s0348	1	Plate2	H5M7NDRX2	ILLUMINA	1	21N03986	s0348-21N03986-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03986_S148_L001_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03986_S148_L001_R2_001.fastq.gz	817189.787	867545.58
s0348	2	Plate2	H5M7NDRX2	ILLUMINA	2	21N03986	s0348-21N03986-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03986_S148_L002_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N03986_S148_L002_R2_001.fastq.gz	812702.816	864105.572
