vcf_name,ID_Berk,NMFS_DNA_ID,BOX_ID,BOX_POSITION,Population,Concentration (ng/ul),run_type
DPCh_plate1_H07_S91,CH_Plate1_7H,T145141,T1515,11G,Feather River Hatchery Spring,206,Spring
DPCh_plate1_H08_S92,CH_Plate1_8H,T145150,T1515,12H,Feather River Hatchery Spring,100,Spring
DPCh_plate1_H09_S93,CH_Plate1_9H,T144979,T1514,3E,Trinity River Hatchery Spring,64.8,Spring
DPCh_plate1_H10_S94,CH_Plate1_10H,T145003,T1514,6E,Trinity River Hatchery Spring,79.8,Spring
DPCh_plate1_H11_S95,CH_Plate1_11H,T145190,T1516,5H,Trinity River Hatchery Fall,49.8,Fall
DPCh_plate1_H12_S96,CH_Plate1_12H,T145243,T1516,12E,Trinity River Hatchery Fall,52.4,Fall
DPCh_plate2_A01_S97,CH_Plate2_1A,T145057,T1515,1C,San Joaquin River Fall,84.6,Fall
DPCh_plate2_A02_S98,CH_Plate2_2A,T145065,T1515,2C,San Joaquin River Fall,59,Fall
DPCh_plate2_A03_S99,CH_Plate2_3A,T145082,T1515,4D,Coleman Hatchery Late Fall,126,Late Fall
DPCh_plate2_A04_S100,CH_Plate2_4A,T145092,T1515,5F,Coleman Hatchery Late Fall,74.8,Late Fall
DPCh_plate2_A05_S101,CH_Plate2_5A,T148319,T1549,1A,Sacramento River Winter,65.6,Winter
DPCh_plate2_A06_S102,CH_Plate2_6A,T148342,T1549,3H,Sacramento River Winter,57.6,Winter
DPCh_plate2_A07_S103,CH_Plate2_7A,T148361,T1549,6C,Butte Creek Spring,73.8,Spring
DPCh_plate2_A08_S104,CH_Plate2_8A,T148374,T1549,7H,Butte Creek Spring,43.6,Spring
DPCh_plate2_B01_S105,CH_Plate2_1B,T145058,T1515,1D,San Joaquin River Fall,72.4,Fall
DPCh_plate2_B02_S106,CH_Plate2_2B,T145066,T1515,2D,San Joaquin River Fall,44.6,Fall
DPCh_plate2_B03_S107,CH_Plate2_3B,T145084,T1515,4F,Coleman Hatchery Late Fall,113,Late Fall
DPCh_plate2_B04_S108,CH_Plate2_4B,T145097,T1515,6C,Coleman Hatchery Late Fall,98.6,Late Fall
DPCh_plate2_B05_S109,CH_Plate2_5B,T148321,T1549,1C,Sacramento River Winter,84.2,Winter
DPCh_plate2_B06_S110,CH_Plate2_6B,T148345,T1549,4C,Sacramento River Winter,68.4,Winter
DPCh_plate2_B07_S111,CH_Plate2_7B,T148367,T1549,7A,Butte Creek Spring,85.4,Spring
DPCh_plate2_B08_S112,CH_Plate2_8B,T148386,T1549,9D,Butte Creek Spring,48.2,Spring
DPCh_plate2_C01_S113,CH_Plate2_1C,T145059,T1515,1E,San Joaquin River Fall,56,Fall
DPCh_plate2_C02_S114,CH_Plate2_2C,T145067,T1515,2E,San Joaquin River Fall,56.8,Fall
DPCh_plate2_C03_S115,CH_Plate2_3C,T145085,T1515,4G,Coleman Hatchery Late Fall,111,Late Fall
DPCh_plate2_C04_S116,CH_Plate2_4C,T145100,T1515,6F,Coleman Hatchery Late Fall,88.4,Late Fall
DPCh_plate2_C05_S117,CH_Plate2_5C,T148325,T1549,1G,Sacramento River Winter,60.4,Winter
DPCh_plate2_C06_S118,CH_Plate2_6C,T148346,T1549,4D,Sacramento River Winter,85.6,Winter
DPCh_plate2_C07_S119,CH_Plate2_7C,T148368,T1549,7B,Butte Creek Spring,51.2,Spring
DPCh_plate2_C08_S120,CH_Plate2_8C,T148391,T1549,10A,Butte Creek Spring,85.6,Spring
DPCh_plate2_D01_S121,CH_Plate2_1D,T145060,T1515,1F,San Joaquin River Fall,113,Fall
DPCh_plate2_D02_S122,CH_Plate2_2D,T145068,T1515,2F,San Joaquin River Fall,159,Fall
DPCh_plate2_D03_S123,CH_Plate2_3D,T145086,T1515,4H,Coleman Hatchery Late Fall,75.8,Late Fall
DPCh_plate2_D04_S124,CH_Plate2_4D,T145101,T1515,6G,Coleman Hatchery Late Fall,93.2,Late Fall
DPCh_plate2_D05_S125,CH_Plate2_5D,T148326,T1549,1H,Sacramento River Winter,77,Winter
DPCh_plate2_D06_S126,CH_Plate2_6D,T148347,T1549,4E,Sacramento River Winter,92.8,Winter
DPCh_plate2_D07_S127,CH_Plate2_7D,T148369,T1549,7C,Butte Creek Spring,100,Spring
