path	kb
data/chinook_WGS_Berkeley_raw/DPCh_plate1_D07_S43_R2_001.fastq.gz	1242796.5
data/chinook_WGS_Berkeley_raw/DPCh_plate1_D08_S44_R1_001.fastq.gz	1305245.1
data/chinook_WGS_Berkeley_raw/DPCh_plate1_D08_S44_R2_001.fastq.gz	1479710.6
data/chinook_WGS_Berkeley_raw/DPCh_plate1_D09_S45_R1_001.fastq.gz	1394758.4
data/chinook_WGS_Berkeley_raw/DPCh_plate1_D09_S45_R2_001.fastq.gz	1589910.4
data/chinook_WGS_Berkeley_raw/DPCh_plate1_D10_S46_R1_001.fastq.gz	1006455.6
data/chinook_WGS_Berkeley_raw/DPCh_plate1_D10_S46_R2_001.fastq.gz	1146684.7
data/chinook_WGS_Berkeley_raw/DPCh_plate1_D11_S47_R1_001.fastq.gz	1501238.9
data/chinook_WGS_Berkeley_raw/DPCh_plate1_D11_S47_R2_001.fastq.gz	1730199.4
data/chinook_WGS_Berkeley_raw/DPCh_plate1_D12_S48_R1_001.fastq.gz	1317583.0
data/chinook_WGS_Berkeley_raw/DPCh_plate1_D12_S48_R2_001.fastq.gz	1521028.8
data/chinook_WGS_Berkeley_raw/DPCh_plate1_E01_S49_R1_001.fastq.gz	891122.5
data/chinook_WGS_Berkeley_raw/DPCh_plate1_E01_S49_R2_001.fastq.gz	960938.5
data/chinook_WGS_Berkeley_raw/DPCh_plate1_E02_S50_R1_001.fastq.gz	1381539.5
data/chinook_WGS_Berkeley_raw/DPCh_plate1_E02_S50_R2_001.fastq.gz	1563904.1
data/chinook_WGS_Berkeley_raw/DPCh_plate1_E03_S51_R1_001.fastq.gz	606880.0
data/chinook_WGS_Berkeley_raw/DPCh_plate1_E03_S51_R2_001.fastq.gz	627873.9
data/chinook_WGS_Berkeley_raw/DPCh_plate1_E04_S52_R1_001.fastq.gz	1009031.0
data/chinook_WGS_Berkeley_raw/DPCh_plate1_E04_S52_R2_001.fastq.gz	1079442.0
data/chinook_WGS_Berkeley_raw/DPCh_plate1_E05_S53_R1_001.fastq.gz	739754.8
data/chinook_WGS_Berkeley_raw/DPCh_plate1_E05_S53_R2_001.fastq.gz	837151.6
data/chinook_WGS_Berkeley_raw/DPCh_plate1_E06_S54_R1_001.fastq.gz	541295.6
data/chinook_WGS_Berkeley_raw/DPCh_plate1_E06_S54_R2_001.fastq.gz	629562.4
data/chinook_WGS_Berkeley_raw/DPCh_plate1_E07_S55_R1_001.fastq.gz	1262410.8
data/chinook_WGS_Berkeley_raw/DPCh_plate1_E07_S55_R2_001.fastq.gz	1418738.6
data/chinook_WGS_Berkeley_raw/DPCh_plate1_E08_S56_R1_001.fastq.gz	415268.7
data/chinook_WGS_Berkeley_raw/DPCh_plate1_E08_S56_R2_001.fastq.gz	483617.1
data/chinook_WGS_Berkeley_raw/DPCh_plate1_E09_S57_R1_001.fastq.gz	1406208.7
data/chinook_WGS_Berkeley_raw/DPCh_plate1_E09_S57_R2_001.fastq.gz	1597149.3
data/chinook_WGS_Berkeley_raw/DPCh_plate1_E10_S58_R1_001.fastq.gz	1181958.5
data/chinook_WGS_Berkeley_raw/DPCh_plate1_E10_S58_R2_001.fastq.gz	1334848.9
data/chinook_WGS_Berkeley_raw/DPCh_plate1_E11_S59_R1_001.fastq.gz	1573953.9
data/chinook_WGS_Berkeley_raw/DPCh_plate1_E11_S59_R2_001.fastq.gz	1854046.1
data/chinook_WGS_Berkeley_raw/DPCh_plate1_E12_S60_R1_001.fastq.gz	1655892.0
data/chinook_WGS_Berkeley_raw/DPCh_plate1_E12_S60_R2_001.fastq.gz	1937475.4
data/chinook_WGS_Berkeley_raw/DPCh_plate1_F01_S61_R1_001.fastq.gz	1168979.0
data/chinook_WGS_Berkeley_raw/DPCh_plate1_F01_S61_R2_001.fastq.gz	1331011.6
data/chinook_WGS_Berkeley_raw/DPCh_plate1_F02_S62_R1_001.fastq.gz	982397.5
data/chinook_WGS_Berkeley_raw/DPCh_plate1_F02_S62_R2_001.fastq.gz	1091072.3
data/chinook_WGS_Berkeley_raw/DPCh_plate1_F03_S63_R1_001.fastq.gz	933036.0
data/chinook_WGS_Berkeley_raw/DPCh_plate1_F03_S63_R2_001.fastq.gz	1015454.2
data/chinook_WGS_Berkeley_raw/DPCh_plate1_F04_S64_R1_001.fastq.gz	1038875.2
data/chinook_WGS_Berkeley_raw/DPCh_plate1_F04_S64_R2_001.fastq.gz	1119544.9
data/chinook_WGS_Berkeley_raw/DPCh_plate1_F05_S65_R1_001.fastq.gz	1123856.1
data/chinook_WGS_Berkeley_raw/DPCh_plate1_F05_S65_R2_001.fastq.gz	1292069.3
data/chinook_WGS_Berkeley_raw/DPCh_plate1_F06_S66_R1_001.fastq.gz	1085428.6
data/chinook_WGS_Berkeley_raw/DPCh_plate1_F06_S66_R2_001.fastq.gz	1232407.2
data/chinook_WGS_Berkeley_raw/DPCh_plate1_F07_S67_R1_001.fastq.gz	1172306.2
data/chinook_WGS_Berkeley_raw/DPCh_plate1_F07_S67_R2_001.fastq.gz	1344525.9
data/chinook_WGS_Berkeley_raw/DPCh_plate1_F08_S68_R1_001.fastq.gz	1042876.4
data/chinook_WGS_Berkeley_raw/DPCh_plate1_F08_S68_R2_001.fastq.gz	1162002.4
data/chinook_WGS_Berkeley_raw/DPCh_plate1_F09_S69_R1_001.fastq.gz	1182887.9
data/chinook_WGS_Berkeley_raw/DPCh_plate1_F09_S69_R2_001.fastq.gz	1358281.5
data/chinook_WGS_Berkeley_raw/DPCh_plate1_F10_S70_R1_001.fastq.gz	1300969.5
data/chinook_WGS_Berkeley_raw/DPCh_plate1_F10_S70_R2_001.fastq.gz	1464654.1
data/chinook_WGS_Berkeley_raw/DPCh_plate1_F11_S71_R1_001.fastq.gz	1500821.7
data/chinook_WGS_Berkeley_raw/DPCh_plate1_F11_S71_R2_001.fastq.gz	1741750.4
data/chinook_WGS_Berkeley_raw/DPCh_plate1_F12_S72_R1_001.fastq.gz	1698678.3
data/chinook_WGS_Berkeley_raw/DPCh_plate1_F12_S72_R2_001.fastq.gz	1890528.2
data/chinook_WGS_Berkeley_raw/DPCh_plate1_G01_S73_R1_001.fastq.gz	999461.7
data/chinook_WGS_Berkeley_raw/DPCh_plate1_G01_S73_R2_001.fastq.gz	1124090.7
data/chinook_WGS_Berkeley_raw/DPCh_plate1_G02_S74_R1_001.fastq.gz	1417210.5
data/chinook_WGS_Berkeley_raw/DPCh_plate1_G02_S74_R2_001.fastq.gz	1617817.3
data/chinook_WGS_Berkeley_raw/DPCh_plate1_G03_S75_R1_001.fastq.gz	1493151.4
data/chinook_WGS_Berkeley_raw/DPCh_plate1_G03_S75_R2_001.fastq.gz	1731826.3
data/chinook_WGS_Berkeley_raw/DPCh_plate1_G04_S76_R1_001.fastq.gz	1030280.8
data/chinook_WGS_Berkeley_raw/DPCh_plate1_G04_S76_R2_001.fastq.gz	1029108.4
data/chinook_WGS_Berkeley_raw/DPCh_plate1_G05_S77_R1_001.fastq.gz	1851430.9
data/chinook_WGS_Berkeley_raw/DPCh_plate1_G05_S77_R2_001.fastq.gz	2143720.0
data/chinook_WGS_Berkeley_raw/DPCh_plate1_G06_S78_R1_001.fastq.gz	1028302.3
