sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
1	1	clam	hc	ILLUMINA	clam1	1	1	all_samples_raw/QOE2503090-5UDI425-7UDI415_20250318143841872332.R1.fastq.gz	all_samples_raw/QOE2503090-5UDI425-7UDI415_20250318143841872332.R2.fastq.gz	1404976	1388362
2	1	clam	hc	ILLUMINA	clam2	2	2	all_samples_raw/QOE2503090-5UDI425-7UDI417_20250318143841872336.R1.fastq.gz	all_samples_raw/QOE2503090-5UDI425-7UDI417_20250318143841872336.R2.fastq.gz	1283451	1321062
3	1	clam	hc	ILLUMINA	clam3	3	3	all_samples_raw/QOE2503090-5UDI425-7UDI418_20250318143841872339.R1.fastq.gz	all_samples_raw/QOE2503090-5UDI425-7UDI418_20250318143841872339.R2.fastq.gz	1126747	1108791
4	1	clam	hc	ILLUMINA	clam4	4	4	all_samples_raw/QOE2503090-5UDI425-7UDI419_20250318143841872342.R1.fastq.gz	all_samples_raw/QOE2503090-5UDI425-7UDI419_20250318143841872342.R2.fastq.gz	1401591	1391361
5	1	clam	hc	ILLUMINA	clam5	5	5	all_samples_raw/QOE2503090-5UDI425-7UDI421_20250318143841872346.R1.fastq.gz	all_samples_raw/QOE2503090-5UDI425-7UDI421_20250318143841872346.R2.fastq.gz	1124684	1142191
6	1	clam	hc	ILLUMINA	clam6	6	6	all_samples_raw/QOE2503090-5UDI425-7UDI423_20250318143841872349.R1.fastq.gz	all_samples_raw/QOE2503090-5UDI425-7UDI423_20250318143841872349.R2.fastq.gz	1276570	1267361
7	1	clam	hc	ILLUMINA	clam7	7	7	all_samples_raw/QOE2503090-5UDI427-7UDI411_20250318143841872352.R1.fastq.gz	all_samples_raw/QOE2503090-5UDI427-7UDI411_20250318143841872352.R2.fastq.gz	1127974	1117518
8	1	clam	hc	ILLUMINA	clam8	8	8	all_samples_raw/QOE2503090-5UDI427-7UDI414_20250318143841872355.R1.fastq.gz	all_samples_raw/QOE2503090-5UDI427-7UDI414_20250318143841872355.R2.fastq.gz	1165020	1220625
9	1	clam	hc	ILLUMINA	clam9	9	9	all_samples_raw/QOE2503090-5UDI427-7UDI415_20250318143841872359.R1.fastq.gz	all_samples_raw/QOE2503090-5UDI427-7UDI415_20250318143841872359.R2.fastq.gz	1187751	1156613
10	1	clam	hc	ILLUMINA	clam10	10	10	all_samples_raw/QOE2503090-5UDI427-7UDI417_20250318143841872362.R1.fastq.gz	all_samples_raw/QOE2503090-5UDI427-7UDI417_20250318143841872362.R2.fastq.gz	1224755	1245621
11	1	clam	hc	ILLUMINA	clam11	11	11	all_samples_raw/QOE2503090-5UDI427-7UDI418_20250318143841872365.R1.fastq.gz	all_samples_raw/QOE2503090-5UDI427-7UDI418_20250318143841872365.R2.fastq.gz	1099620	1143883
12	1	clam	hc	ILLUMINA	clam12	12	12	all_samples_raw/QOE2503090-5UDI427-7UDI419_20250318143841872369.R1.fastq.gz	all_samples_raw/QOE2503090-5UDI427-7UDI419_20250318143841872369.R2.fastq.gz	1098471	1083525
13	1	clam	hc	ILLUMINA	clam13	13	13	all_samples_raw/QOE2503090-5UDI427-7UDI421_20250318143841872372.R1.fastq.gz	all_samples_raw/QOE2503090-5UDI427-7UDI421_20250318143841872372.R2.fastq.gz	1126127	1174013
14	1	clam	hc	ILLUMINA	clam14	14	14	all_samples_raw/QOE2503090-5UDI427-7UDI423_20250318143841872376.R1.fastq.gz	all_samples_raw/QOE2503090-5UDI427-7UDI423_20250318143841872376.R2.fastq.gz	1039073	1028186
